,Date,Price - USD/Ton
0,1968-10-01,3425.0
1,1968-10-02,3375.0
2,1968-10-03,3440.0
3,1968-10-04,3440.0
4,1968-10-07,3532.0
5,1968-10-08,3500.0
6,1968-10-09,3505.0
7,1968-10-10,3565.0
8,1968-10-11,3612.0
9,1968-10-14,3560.0
10,1968-10-15,3584.0
11,1968-10-16,3607.0
12,1968-10-17,3501.0
13,1968-10-18,3550.0
14,1968-10-21,3536.0
15,1968-10-22,3515.0
16,1968-10-23,3501.0
17,1968-10-24,3517.0
18,1968-10-25,3617.0
19,1968-10-28,3717.0
20,1968-10-29,3817.0
21,1968-10-30,3830.0
22,1968-10-31,3750.0
23,1968-11-01,3805.0
24,1968-11-04,3745.0
25,1968-11-06,3700.0
26,1968-11-07,3760.0
27,1968-11-08,3860.0
28,1968-11-12,3940.0
29,1968-11-13,3920.0
30,1968-11-14,4011.0
31,1968-11-15,3985.0
32,1968-11-18,4015.0
33,1968-11-19,3915.0
34,1968-11-20,3850.0
35,1968-11-21,3910.0
36,1968-11-22,3880.0
37,1968-11-25,3835.0
38,1968-11-26,3935.0
39,1968-11-27,4010.0
40,1968-11-29,3940.0
41,1968-12-02,3891.0
42,1968-12-03,3806.0
43,1968-12-04,3906.0
44,1968-12-05,4006.0
45,1968-12-06,4106.0
46,1968-12-09,4155.0
47,1968-12-10,4255.0
48,1968-12-11,4320.0
49,1968-12-12,4285.0
50,1968-12-13,4185.0
51,1968-12-16,4213.0
52,1968-12-17,4235.0
53,1968-12-18,4240.0
54,1968-12-19,4221.0
55,1968-12-20,4180.0
56,1968-12-23,4105.0
57,1968-12-24,4181.0
58,1968-12-26,4225.0
59,1968-12-27,4138.0
60,1968-12-30,4089.0
61,1968-12-31,4135.0
62,1969-01-02,4240.0
63,1969-01-03,4300.0
64,1969-01-06,4165.0
65,1969-01-07,4085.0
66,1969-01-08,4004.0
67,1969-01-09,3904.0
68,1969-01-10,3860.0
69,1969-01-13,3830.0
70,1969-01-14,3770.0
71,1969-01-15,3870.0
72,1969-01-16,3905.0
73,1969-01-17,3800.0
74,1969-01-20,3700.0
75,1969-01-21,3735.0
76,1969-01-22,3811.0
77,1969-01-23,3830.0
78,1969-01-24,3870.0
79,1969-01-27,3915.0
80,1969-01-28,3840.0
81,1969-01-29,3893.0
82,1969-01-30,3830.0
83,1969-01-31,3823.0
84,1969-02-03,3812.0
85,1969-02-04,3751.0
86,1969-02-05,3700.0
87,1969-02-06,3615.0
88,1969-02-07,3531.0
89,1969-02-11,3630.0
90,1969-02-13,3730.0
91,1969-02-14,3710.0
92,1969-02-17,3660.0
93,1969-02-18,3640.0
94,1969-02-19,3675.0
95,1969-02-20,3775.0
96,1969-02-24,3841.0
97,1969-02-25,3800.0
98,1969-02-26,3765.0
99,1969-02-27,3765.0
100,1969-02-28,3690.0
101,1969-03-03,3722.0
102,1969-03-04,3761.0
103,1969-03-05,3797.0
104,1969-03-06,3776.0
105,1969-03-07,3740.0
106,1969-03-10,3745.0
107,1969-03-11,3764.0
108,1969-03-12,3705.0
109,1969-03-13,3608.0
110,1969-03-14,3630.0
111,1969-03-17,3555.0
112,1969-03-18,3535.0
113,1969-03-19,3560.0
114,1969-03-20,3660.0
115,1969-03-21,3640.0
116,1969-03-24,3570.0
117,1969-03-25,3535.0
118,1969-03-26,3570.0
119,1969-03-27,3580.0
120,1969-03-28,3565.0
121,1969-04-01,3630.0
122,1969-04-02,3575.0
123,1969-04-03,3585.0
124,1969-04-07,3615.0
125,1969-04-08,3598.0
126,1969-04-09,3550.0
127,1969-04-10,3578.0
128,1969-04-11,3570.0
129,1969-04-14,3654.0
130,1969-04-15,3629.0
131,1969-04-16,3648.0
132,1969-04-17,3622.0
133,1969-04-18,3626.0
134,1969-04-21,3594.0
135,1969-04-22,3631.0
136,1969-04-23,3634.0
137,1969-04-24,3585.0
138,1969-04-25,3570.0
139,1969-04-28,3505.0
140,1969-04-29,3550.0
141,1969-04-30,3528.0
142,1969-05-01,3535.0
143,1969-05-02,3550.0
144,1969-05-05,3557.0
145,1969-05-06,3552.0
146,1969-05-07,3561.0
147,1969-05-08,3525.0
148,1969-05-09,3456.0
149,1969-05-12,3468.0
150,1969-05-13,3488.0
151,1969-05-14,3457.0
152,1969-05-15,3457.0
153,1969-05-16,3469.0
154,1969-05-19,3470.0
155,1969-05-20,3541.0
156,1969-05-21,3547.0
157,1969-05-22,3607.0
158,1969-05-23,3593.0
159,1969-05-26,3606.0
160,1969-05-27,3620.0
161,1969-05-28,3630.0
162,1969-05-29,3637.0
163,1969-06-02,3655.0
164,1969-06-03,3664.0
165,1969-06-04,3665.0
166,1969-06-05,3666.0
167,1969-06-06,3605.0
168,1969-06-09,3591.0
169,1969-06-10,3610.0
170,1969-06-11,3575.0
171,1969-06-12,3601.0
172,1969-06-13,3635.0
173,1969-06-16,3675.0
174,1969-06-17,3740.0
175,1969-06-18,3690.0
176,1969-06-19,3675.0
177,1969-06-20,3653.0
178,1969-06-23,3652.0
179,1969-06-24,3762.0
180,1969-06-25,3745.0
181,1969-06-26,3735.0
182,1969-06-27,3789.0
183,1969-06-30,3737.0
184,1969-07-01,3774.0
185,1969-07-02,3822.0
186,1969-07-03,3850.0
187,1969-07-07,3950.0
188,1969-07-08,3935.0
189,1969-07-09,4018.0
190,1969-07-10,4025.0
191,1969-07-11,4080.0
192,1969-07-14,4042.0
193,1969-07-15,4055.0
194,1969-07-16,4040.0
195,1969-07-17,4062.0
196,1969-07-18,4135.0
197,1969-07-22,4110.0
198,1969-07-23,4168.0
199,1969-07-24,4194.0
200,1969-07-25,4192.0
201,1969-07-28,4092.0
202,1969-07-29,4015.0
203,1969-07-30,4050.0
204,1969-07-31,4067.0
205,1969-08-01,4080.0
206,1969-08-04,4100.0
207,1969-08-05,4060.0
208,1969-08-06,4115.0
209,1969-08-07,4135.0
210,1969-08-08,4102.0
211,1969-08-11,4040.0
212,1969-08-12,4030.0
213,1969-08-13,3930.0
214,1969-08-14,3925.0
215,1969-08-15,3950.0
216,1969-08-18,3886.0
217,1969-08-19,3910.0
218,1969-08-20,3813.0
219,1969-08-21,3765.0
220,1969-08-22,3785.0
221,1969-08-25,3885.0
222,1969-08-26,3899.0
223,1969-08-27,3861.0
224,1969-08-28,3810.0
225,1969-08-29,3820.0
226,1969-09-02,3850.0
227,1969-09-03,3875.0
228,1969-09-04,3868.0
229,1969-09-05,3884.0
230,1969-09-08,3910.0
231,1969-09-09,3893.0
232,1969-09-10,3886.0
233,1969-09-11,3902.0
234,1969-09-12,3949.0
235,1969-09-15,3989.0
236,1969-09-16,4054.0
237,1969-09-17,4060.0
238,1969-09-18,3995.0
239,1969-09-19,3982.0
240,1969-09-22,3986.0
241,1969-09-23,4022.0
242,1969-09-24,4010.0
243,1969-09-25,3933.0
244,1969-09-26,3945.0
245,1969-09-29,3900.0
246,1969-09-30,3938.0
247,1969-10-01,3953.0
248,1969-10-02,3983.0
249,1969-10-03,3965.0
250,1969-10-06,3941.0
251,1969-10-07,4000.0
252,1969-10-08,3940.0
253,1969-10-09,3900.0
254,1969-10-10,3924.0
255,1969-10-14,3926.0
256,1969-10-15,3965.0
257,1969-10-16,3971.0
258,1969-10-17,3947.0
259,1969-10-20,3967.0
260,1969-10-21,4067.0
261,1969-10-22,4110.0
262,1969-10-23,4100.0
263,1969-10-24,4095.0
264,1969-10-27,4107.0
265,1969-10-28,4144.0
266,1969-10-29,4183.0
267,1969-10-30,4225.0
268,1969-10-31,4279.0
269,1969-11-03,4354.0
270,1969-11-05,4329.0
271,1969-11-06,4310.0
272,1969-11-07,4300.0
273,1969-11-10,4307.0
274,1969-11-12,4218.0
275,1969-11-13,4226.0
276,1969-11-14,4132.0
277,1969-11-17,4041.0
278,1969-11-18,4090.0
279,1969-11-19,4069.0
280,1969-11-20,4092.0
281,1969-11-21,4110.0
282,1969-11-24,4059.0
283,1969-11-25,4095.0
284,1969-11-26,4111.0
285,1969-11-28,4011.0
286,1969-12-01,3992.0
287,1969-12-02,4010.0
288,1969-12-03,3955.0
289,1969-12-04,3920.0
290,1969-12-05,3927.0
291,1969-12-08,3954.0
292,1969-12-09,3905.0
293,1969-12-10,3890.0
294,1969-12-11,3935.0
295,1969-12-12,3975.0
296,1969-12-15,3963.0
297,1969-12-16,3994.0
298,1969-12-17,3940.0
299,1969-12-18,3887.0
300,1969-12-19,3825.0
301,1969-12-22,3822.0
302,1969-12-23,3786.0
303,1969-12-24,3686.0
304,1969-12-29,3603.0
305,1969-12-30,3540.0
