,Date,Price - USD/Bushel
0,1959-07-01,1.177
1,1959-07-02,1.176
2,1959-07-06,1.171
3,1959-07-07,1.171
4,1959-07-08,1.17
5,1959-07-09,1.174
6,1959-07-10,1.182
7,1959-07-13,1.173
8,1959-07-14,1.186
9,1959-07-15,1.182
10,1959-07-16,1.181
11,1959-07-17,1.184
12,1959-07-20,1.19
13,1959-07-21,1.185
14,1959-07-22,1.183
15,1959-07-23,1.166
16,1959-07-24,1.175
17,1959-07-27,1.174
18,1959-07-28,1.166
19,1959-07-29,1.172
20,1959-07-30,1.17
21,1959-07-31,1.173
22,1959-08-03,1.165
23,1959-08-04,1.167
24,1959-08-05,1.17
25,1959-08-06,1.162
26,1959-08-07,1.16
27,1959-08-10,1.156
28,1959-08-11,1.156
29,1959-08-12,1.155
30,1959-08-13,1.16
31,1959-08-14,1.164
32,1959-08-17,1.157
33,1959-08-18,1.155
34,1959-08-19,1.156
35,1959-08-20,1.16
36,1959-08-21,1.162
37,1959-08-24,1.162
38,1959-08-25,1.162
39,1959-08-26,1.161
40,1959-08-27,1.156
41,1959-08-28,1.155
42,1959-08-31,1.153
43,1959-09-01,1.156
44,1959-09-02,1.16
45,1959-09-03,1.157
46,1959-09-04,1.16
47,1959-09-08,1.153
48,1959-09-09,1.146
49,1959-09-10,1.145
50,1959-09-11,1.141
51,1959-09-14,1.135
52,1959-09-15,1.134
53,1959-09-16,1.134
54,1959-09-17,1.134
55,1959-09-18,1.133
56,1959-09-21,1.133
57,1959-09-22,1.133
58,1959-09-23,1.142
59,1959-09-24,1.142
60,1959-09-25,1.136
61,1959-09-28,1.14
62,1959-09-29,1.135
63,1959-09-30,1.135
64,1959-10-01,1.135
65,1959-10-02,1.141
66,1959-10-05,1.141
67,1959-10-06,1.142
68,1959-10-07,1.142
69,1959-10-08,1.142
70,1959-10-09,1.137
71,1959-10-12,1.132
72,1959-10-13,1.135
73,1959-10-14,1.131
74,1959-10-15,1.131
75,1959-10-16,1.126
76,1959-10-19,1.13
77,1959-10-20,1.136
78,1959-10-21,1.144
79,1959-10-22,1.141
80,1959-10-23,1.137
81,1959-10-26,1.151
82,1959-10-27,1.144
83,1959-10-28,1.144
84,1959-10-29,1.136
85,1959-10-30,1.142
86,1959-11-02,1.141
87,1959-11-03,1.154
88,1959-11-04,1.166
89,1959-11-05,1.164
90,1959-11-06,1.171
91,1959-11-09,1.164
92,1959-11-10,1.16
93,1959-11-11,1.162
94,1959-11-12,1.166
95,1959-11-13,1.167
96,1959-11-16,1.165
97,1959-11-17,1.163
98,1959-11-18,1.163
99,1959-11-19,1.154
100,1959-11-20,1.144
101,1959-11-23,1.141
102,1959-11-24,1.143
103,1959-11-25,1.144
104,1959-11-27,1.141
105,1959-11-30,1.142
106,1959-12-01,1.142
107,1959-12-02,1.141
108,1959-12-03,1.141
109,1959-12-04,1.14
110,1959-12-07,1.143
111,1959-12-08,1.14
112,1959-12-09,1.135
113,1959-12-10,1.136
114,1959-12-11,1.135
115,1959-12-14,1.134
116,1959-12-15,1.133
117,1959-12-16,1.131
118,1959-12-17,1.12
119,1959-12-18,1.131
120,1959-12-21,1.122
121,1959-12-22,1.123
122,1959-12-23,1.133
123,1959-12-24,1.13
124,1959-12-28,1.137
125,1959-12-29,1.144
126,1959-12-30,1.141
127,1959-12-31,1.137
128,1960-01-04,1.14
129,1960-01-05,1.14
130,1960-01-06,1.144
131,1960-01-07,1.147
132,1960-01-08,1.143
133,1960-01-11,1.14
134,1960-01-12,1.142
135,1960-01-13,1.144
136,1960-01-14,1.145
137,1960-01-15,1.146
138,1960-01-18,1.152
139,1960-01-19,1.15
140,1960-01-20,1.147
141,1960-01-21,1.146
142,1960-01-22,1.144
143,1960-01-25,1.14
144,1960-01-26,1.141
145,1960-01-27,1.142
146,1960-01-28,1.142
147,1960-01-29,1.141
148,1960-02-01,1.136
149,1960-02-02,1.137
150,1960-02-03,1.145
151,1960-02-04,1.143
152,1960-02-05,1.142
153,1960-02-08,1.144
154,1960-02-09,1.143
155,1960-02-10,1.14
156,1960-02-11,1.141
157,1960-02-12,1.136
158,1960-02-15,1.133
159,1960-02-16,1.127
160,1960-02-17,1.13
161,1960-02-18,1.126
162,1960-02-19,1.12
163,1960-02-23,1.114
164,1960-02-24,1.1226
165,1960-02-25,1.1366
166,1960-02-26,1.1422
167,1960-02-29,1.155
168,1960-03-01,1.167
169,1960-03-02,1.166
170,1960-03-03,1.172
171,1960-03-04,1.166
172,1960-03-07,1.167
173,1960-03-08,1.17
174,1960-03-09,1.172
175,1960-03-10,1.167
176,1960-03-11,1.164
177,1960-03-14,1.166
178,1960-03-15,1.164
179,1960-03-16,1.167
180,1960-03-17,1.165
181,1960-03-18,1.164
182,1960-03-21,1.161
183,1960-03-22,1.162
184,1960-03-23,1.166
185,1960-03-24,1.172
186,1960-03-25,1.174
187,1960-03-28,1.176
188,1960-03-29,1.182
189,1960-03-30,1.19
190,1960-03-31,1.192
191,1960-04-01,1.192
192,1960-04-04,1.185
193,1960-04-05,1.18
194,1960-04-06,1.181
195,1960-04-07,1.184
196,1960-04-08,1.183
197,1960-04-11,1.183
198,1960-04-12,1.187
199,1960-04-13,1.191
200,1960-04-14,1.191
201,1960-04-18,1.191
202,1960-04-19,1.184
203,1960-04-20,1.185
204,1960-04-21,1.19
205,1960-04-22,1.192
206,1960-04-25,1.192
207,1960-04-26,1.192
208,1960-04-27,1.1916
209,1960-04-28,1.1992
210,1960-04-29,1.205
211,1960-05-02,1.205
212,1960-05-03,1.205
213,1960-05-04,1.2
214,1960-05-05,1.202
215,1960-05-06,1.206
216,1960-05-09,1.202
217,1960-05-10,1.203
218,1960-05-11,1.201
219,1960-05-12,1.207
220,1960-05-13,1.204
221,1960-05-16,1.211
222,1960-05-17,1.211
223,1960-05-18,1.207
224,1960-05-19,1.213
225,1960-05-20,1.217
226,1960-05-23,1.213
227,1960-05-24,1.211
228,1960-05-25,1.214
229,1960-05-26,1.214
230,1960-05-27,1.215
231,1960-05-31,1.213
232,1960-06-01,1.21
233,1960-06-02,1.204
234,1960-06-03,1.201
235,1960-06-06,1.201
236,1960-06-07,1.196
237,1960-06-08,1.192
238,1960-06-09,1.192
239,1960-06-10,1.184
240,1960-06-13,1.185
241,1960-06-14,1.186
