,Date,Price - USD/LB
0,1972-08-22,0.2673
1,1972-08-23,0.2703
2,1972-08-24,0.2706
3,1972-08-25,0.2722
4,1972-08-28,0.2704
5,1972-08-29,0.2705
6,1972-08-30,0.2718
7,1972-08-31,0.27
8,1972-09-01,0.2752
9,1972-09-05,0.2737
10,1972-09-06,0.2728
11,1972-09-07,0.2716
12,1972-09-08,0.266
13,1972-09-11,0.2693
14,1972-09-12,0.2685
15,1972-09-13,0.2672
16,1972-09-14,0.2691
17,1972-09-15,0.2674
18,1972-09-18,0.27
19,1972-09-19,0.2721
20,1972-09-20,0.2717
21,1972-09-21,0.276
22,1972-09-22,0.2705
23,1972-09-25,0.272
24,1972-09-26,0.273
25,1972-09-27,0.2715
26,1972-09-28,0.2721
27,1972-09-29,0.2737
28,1972-10-02,0.2735
29,1972-10-03,0.2702
30,1972-10-04,0.2684
31,1972-10-05,0.2683
32,1972-10-06,0.269
33,1972-10-10,0.2702
34,1972-10-11,0.2713
35,1972-10-12,0.2705
36,1972-10-13,0.2705
37,1972-10-16,0.272
38,1972-10-17,0.2703
39,1972-10-18,0.2731
40,1972-10-19,0.2775
41,1972-10-20,0.2732
42,1972-10-23,0.2766
43,1972-10-24,0.2824
44,1972-10-25,0.2838
45,1972-10-26,0.2863
46,1972-10-27,0.2872
47,1972-10-30,0.2931
48,1972-10-31,0.298
49,1972-11-01,0.2944
50,1972-11-02,0.2918
51,1972-11-03,0.2922
52,1972-11-06,0.2925
53,1972-11-08,0.3015
54,1972-11-09,0.3045
55,1972-11-10,0.3035
56,1972-11-13,0.3138
57,1972-11-14,0.315
58,1972-11-15,0.3251
59,1972-11-16,0.3181
60,1972-11-17,0.3198
61,1972-11-20,0.331
62,1972-11-21,0.3445
63,1972-11-22,0.335
64,1972-11-24,0.3425
65,1972-11-27,0.345
66,1972-11-28,0.3317
67,1972-11-29,0.3276
68,1972-11-30,0.3229
69,1972-12-01,0.3185
70,1972-12-04,0.3225
71,1972-12-05,0.327
72,1972-12-06,0.328
73,1972-12-07,0.3315
74,1972-12-08,0.336
75,1972-12-11,0.3541
76,1972-12-12,0.338
77,1972-12-13,0.3475
78,1972-12-14,0.3453
79,1972-12-15,0.3413
80,1972-12-18,0.3328
81,1972-12-19,0.3362
82,1972-12-20,0.34
83,1972-12-21,0.3452
84,1972-12-22,0.346
85,1972-12-26,0.348
86,1972-12-27,0.3474
87,1972-12-29,0.355
88,1973-01-02,0.361
89,1973-01-03,0.364
90,1973-01-04,0.364
91,1973-01-05,0.372
92,1973-01-08,0.3795
93,1973-01-09,0.3798
94,1973-01-10,0.38
95,1973-01-11,0.3744
96,1973-01-12,0.3732
97,1973-01-15,0.362
98,1973-01-16,0.3625
99,1973-01-17,0.3652
100,1973-01-18,0.3746
101,1973-01-19,0.3765
102,1973-01-22,0.3866
103,1973-01-23,0.3896
104,1973-01-24,0.387
105,1973-01-26,0.3921
106,1973-01-29,0.3855
107,1973-01-30,0.3822
108,1973-01-31,0.3802
109,1973-02-01,0.3793
110,1973-02-02,0.3795
111,1973-02-05,0.3785
112,1973-02-06,0.3724
113,1973-02-07,0.3723
114,1973-02-08,0.3804
115,1973-02-09,0.381
116,1973-02-12,0.3854
117,1973-02-13,0.3905
118,1973-02-14,0.3941
119,1973-02-15,0.3864
120,1973-02-16,0.387
121,1973-02-20,0.3865
122,1973-02-21,0.3855
123,1973-02-22,0.388
124,1973-02-23,0.388
125,1973-02-26,0.3909
126,1973-02-27,0.3953
127,1973-02-28,0.3927
128,1973-03-01,0.3915
129,1973-03-02,0.3882
130,1973-03-05,0.3909
131,1973-03-06,0.3982
132,1973-03-07,0.3982
133,1973-03-08,0.3992
134,1973-03-09,0.401
135,1973-03-12,0.4072
136,1973-03-13,0.3995
137,1973-03-14,0.4062
138,1973-03-15,0.4065
139,1973-03-16,0.4082
140,1973-03-19,0.4112
141,1973-03-20,0.4172
142,1973-03-21,0.4175
143,1973-03-22,0.4169
144,1973-03-23,0.4188
145,1973-03-26,0.4245
146,1973-03-27,0.425
147,1973-03-28,0.4175
148,1973-03-29,0.405
149,1973-03-30,0.4212
150,1973-04-02,0.4288
151,1973-04-03,0.4295
152,1973-04-04,0.4335
153,1973-04-05,0.4387
154,1973-04-06,0.4392
155,1973-04-09,0.4459
156,1973-04-10,0.4471
157,1973-04-11,0.4495
158,1973-04-12,0.4695
159,1973-04-13,0.477
160,1973-04-16,0.475
161,1973-04-17,0.4825
162,1973-04-18,0.494
163,1973-04-19,0.4932
164,1973-04-23,0.5132
165,1973-04-24,0.5375
166,1973-04-25,0.4969
167,1973-04-26,0.4929
168,1973-04-27,0.4948
169,1973-04-30,0.5022
170,1973-05-01,0.512
171,1973-05-02,0.492
172,1973-05-03,0.4923
173,1973-05-04,0.497
174,1973-05-07,0.517
175,1973-05-08,0.5065
176,1973-05-09,0.524
177,1973-05-10,0.518
178,1973-05-11,0.5086
179,1973-05-14,0.4912
180,1973-05-15,0.4825
181,1973-05-16,0.4875
182,1973-05-17,0.4988
183,1973-05-18,0.51
184,1973-05-21,0.512
185,1973-05-22,0.5038
186,1973-05-23,0.5072
187,1973-05-24,0.5145
188,1973-05-25,0.525
189,1973-05-29,0.5217
190,1973-05-30,0.5187
191,1973-05-31,0.5122
192,1973-06-01,0.513
193,1973-06-04,0.525
194,1973-06-05,0.524
195,1973-06-06,0.504
196,1973-06-07,0.5041
197,1973-06-08,0.4975
198,1973-06-11,0.515
199,1973-06-12,0.5225
200,1973-06-13,0.5102
201,1973-06-14,0.5028
202,1973-06-15,0.49
203,1973-06-18,0.498
204,1973-06-19,0.501
205,1973-06-20,0.497
206,1973-06-21,0.499
207,1973-06-22,0.503
208,1973-06-25,0.523
209,1973-06-26,0.5295
210,1973-06-27,0.5455
211,1973-06-28,0.5188
212,1973-06-29,0.5412
213,1973-07-02,0.562
214,1973-07-03,0.564
215,1973-07-05,0.583
216,1973-07-06,0.563
217,1973-07-09,0.5467
218,1973-07-10,0.554
219,1973-07-11,0.5535
220,1973-07-12,0.557
221,1973-07-13,0.5595
222,1973-07-16,0.577
223,1973-07-17,0.5715
224,1973-07-18,0.591
225,1973-07-19,0.611
226,1973-07-20,0.6294
227,1973-07-23,0.649
228,1973-07-24,0.644
229,1973-07-25,0.645
230,1973-07-26,0.6495
231,1973-07-27,0.6295
232,1973-07-30,0.6285
233,1973-07-31,0.6328
234,1973-08-01,0.6375
235,1973-08-02,0.629
236,1973-08-03,0.6425
237,1973-08-06,0.6625
238,1973-08-07,0.6825
239,1973-08-08,0.6825
240,1973-08-09,0.693
241,1973-08-10,0.713
242,1973-08-13,0.733
243,1973-08-14,0.7335
244,1973-08-15,0.74
245,1973-08-16,0.7438
246,1973-08-17,0.76
247,1973-08-20,0.78
248,1973-08-21,0.7925
249,1973-08-22,0.81
250,1973-08-23,0.83
251,1973-08-24,0.85
252,1973-08-27,0.85
253,1973-08-28,0.8318
254,1973-08-29,0.846
255,1973-08-30,0.866
256,1973-08-31,0.886
257,1973-09-04,0.906
258,1973-09-05,0.9123
259,1973-09-06,0.91
260,1973-09-07,0.89
261,1973-09-10,0.87
262,1973-09-11,0.85
263,1973-09-12,0.83
264,1973-09-13,0.83
265,1973-09-14,0.85
266,1973-09-17,0.87
267,1973-09-18,0.89
268,1973-09-19,0.91
269,1973-09-20,0.93
270,1973-09-21,0.95
271,1973-09-24,0.9502
272,1973-09-25,0.922
273,1973-09-26,0.86
274,1973-09-27,0.8617
275,1973-09-28,0.8422
276,1973-10-01,0.818
277,1973-10-02,0.803
278,1973-10-03,0.7895
279,1973-10-04,0.79
280,1973-10-05,0.7892
281,1973-10-09,0.8092
282,1973-10-10,0.8292
283,1973-10-11,0.8253
284,1973-10-12,0.8345
285,1973-10-15,0.8135
286,1973-10-16,0.8335
287,1973-10-17,0.8142
288,1973-10-18,0.7985
289,1973-10-19,0.7797
290,1973-10-23,0.7597
291,1973-10-24,0.7397
292,1973-10-25,0.7197
293,1973-10-26,0.6997
