,Date,Price - USD/LB
0,1962-11-29,0.0389
1,1962-11-30,0.0384
2,1962-12-03,0.0387
3,1962-12-04,0.038
4,1962-12-05,0.0375
5,1962-12-06,0.0382
6,1962-12-07,0.0375
7,1962-12-10,0.0378
8,1962-12-11,0.038
9,1962-12-12,0.0384
10,1962-12-13,0.0385
11,1962-12-14,0.0386
12,1962-12-17,0.0382
13,1962-12-18,0.0385
14,1962-12-19,0.039
15,1962-12-20,0.0395
16,1962-12-21,0.0397
17,1962-12-26,0.0402
18,1962-12-27,0.0414
19,1962-12-28,0.0415
20,1963-01-02,0.0425
21,1963-01-03,0.0434
22,1963-01-04,0.0435
23,1963-01-07,0.0449
24,1963-01-08,0.0465
25,1963-01-09,0.0467
26,1963-01-10,0.045
27,1963-01-11,0.0445
28,1963-01-14,0.0465
29,1963-01-15,0.0472
30,1963-01-16,0.0469
31,1963-01-17,0.0457
32,1963-01-18,0.047
33,1963-01-21,0.0479
34,1963-01-22,0.0471
35,1963-01-23,0.0464
36,1963-01-24,0.0484
37,1963-01-25,0.0478
38,1963-01-28,0.0445
39,1963-01-29,0.0445
40,1963-01-30,0.0466
41,1963-01-31,0.0478
42,1963-02-01,0.0482
43,1963-02-04,0.0485
44,1963-02-05,0.0489
45,1963-02-06,0.0491
46,1963-02-07,0.0493
47,1963-02-08,0.0482
48,1963-02-11,0.0472
49,1963-02-13,0.0485
50,1963-02-14,0.0492
51,1963-02-15,0.0498
52,1963-02-18,0.0493
53,1963-02-19,0.0492
54,1963-02-20,0.0487
55,1963-02-21,0.0492
56,1963-02-25,0.0533
57,1963-02-26,0.0549
58,1963-02-27,0.0567
59,1963-02-28,0.0558
60,1963-03-01,0.0584
61,1963-03-04,0.0576
62,1963-03-05,0.0569
63,1963-03-06,0.057
64,1963-03-07,0.0586
65,1963-03-08,0.0583
66,1963-03-11,0.0579
67,1963-03-12,0.0578
68,1963-03-13,0.0586
69,1963-03-14,0.06
70,1963-03-15,0.0599
71,1963-03-18,0.061
72,1963-03-19,0.0627
73,1963-03-20,0.0673
74,1963-03-21,0.0683
75,1963-03-22,0.0694
76,1963-03-25,0.072
77,1963-03-26,0.068
78,1963-03-27,0.0653
79,1963-03-28,0.0627
80,1963-03-29,0.0577
81,1963-04-01,0.0605
82,1963-04-02,0.0646
83,1963-04-03,0.0612
84,1963-04-04,0.0623
85,1963-04-05,0.065
86,1963-04-08,0.067
87,1963-04-09,0.0658
88,1963-04-10,0.065
89,1963-04-11,0.0677
90,1963-04-15,0.0689
91,1963-04-16,0.0675
92,1963-04-17,0.0681
93,1963-04-18,0.0672
94,1963-04-19,0.0702
95,1963-04-22,0.0699
96,1963-04-23,0.0708
97,1963-04-24,0.0705
98,1963-04-25,0.0715
99,1963-04-26,0.073
100,1963-04-29,0.078
101,1963-04-30,0.0768
102,1963-05-01,0.0766
103,1963-05-02,0.0762
104,1963-05-03,0.0754
105,1963-05-06,0.0759
106,1963-05-07,0.0802
107,1963-05-08,0.0811
108,1963-05-09,0.085
109,1963-05-10,0.0882
110,1963-05-13,0.0932
111,1963-05-14,0.0922
112,1963-05-15,0.0972
113,1963-05-16,0.1022
114,1963-05-17,0.1033
115,1963-05-20,0.1083
116,1963-05-21,0.1133
117,1963-05-22,0.1183
118,1963-05-23,0.1183
119,1963-05-24,0.1133
120,1963-05-27,0.1083
121,1963-05-28,0.1033
122,1963-05-29,0.0983
123,1963-05-31,0.0955
124,1963-06-03,0.0905
125,1963-06-04,0.0855
126,1963-06-05,0.0805
127,1963-06-06,0.0805
128,1963-06-07,0.0805
129,1963-06-10,0.0855
130,1963-06-11,0.0845
131,1963-06-12,0.0795
132,1963-06-13,0.0745
133,1963-06-14,0.0695
134,1963-06-17,0.0693
135,1963-06-18,0.0743
136,1963-06-19,0.0771
137,1963-06-20,0.075
138,1963-06-21,0.0765
139,1963-06-24,0.0722
140,1963-06-25,0.0675
141,1963-06-26,0.0675
142,1963-06-27,0.0725
143,1963-06-28,0.0757
144,1963-07-01,0.0755
145,1963-07-02,0.0799
146,1963-07-03,0.077
147,1963-07-08,0.0796
148,1963-07-09,0.0778
149,1963-07-10,0.0743
150,1963-07-11,0.0693
151,1963-07-12,0.0679
152,1963-07-15,0.063
153,1963-07-16,0.068
154,1963-07-17,0.0655
155,1963-07-18,0.0679
156,1963-07-19,0.0699
157,1963-07-22,0.0675
158,1963-07-23,0.07
159,1963-07-24,0.0683
160,1963-07-25,0.0687
161,1963-07-26,0.0658
162,1963-07-29,0.0609
163,1963-07-30,0.0605
164,1963-07-31,0.059
165,1963-08-01,0.0609
166,1963-08-02,0.062
167,1963-08-05,0.0593
168,1963-08-06,0.0617
169,1963-08-07,0.0635
170,1963-08-08,0.0623
171,1963-08-09,0.0614
172,1963-08-12,0.0568
173,1963-08-13,0.0568
174,1963-08-14,0.0552
175,1963-08-15,0.056
176,1963-08-16,0.0544
177,1963-08-19,0.052
178,1963-08-20,0.0494
179,1963-08-21,0.0512
180,1963-08-22,0.0507
181,1963-08-23,0.053
182,1963-08-26,0.0545
183,1963-08-27,0.0578
