,Coffee Date,Coffee Price - USD/LB,Corn Date,Corn Price - USD/Bushel,Cotton Date,Cotton Price - USD/LB,Sugar Date,Sugar Price - USD/LB,Cocoa Date,Cocoa Price - USD/Ton
0,1973-08-20,0.6735,1959-07-01,1.177,1972-08-22,0.2673,1962-11-29,0.0389,1968-10-01,3425.0
1,1973-08-21,0.671,1959-07-02,1.176,1972-08-23,0.2703,1962-11-30,0.0384,1968-10-02,3375.0
2,1973-08-22,0.658,1959-07-06,1.171,1972-08-24,0.2706,1962-12-03,0.0387,1968-10-03,3440.0
3,1973-08-23,0.6675,1959-07-07,1.171,1972-08-25,0.2722,1962-12-04,0.038,1968-10-04,3440.0
4,1973-08-24,0.666,1959-07-08,1.17,1972-08-28,0.2704,1962-12-05,0.0375,1968-10-07,3532.0
5,1973-08-27,0.659,1959-07-09,1.174,1972-08-29,0.2705,1962-12-06,0.0382,1968-10-08,3500.0
6,1973-08-28,0.64,1959-07-10,1.182,1972-08-30,0.2718,1962-12-07,0.0375,1968-10-09,3505.0
7,1973-08-29,0.6345,1959-07-13,1.173,1972-08-31,0.27,1962-12-10,0.0378,1968-10-10,3565.0
8,1973-08-30,0.6387,1959-07-14,1.186,1972-09-01,0.2752,1962-12-11,0.038,1968-10-11,3612.0
9,1973-08-31,0.6402,1959-07-15,1.182,1972-09-05,0.2737,1962-12-12,0.0384,1968-10-14,3560.0
10,1973-09-04,0.6432,1959-07-16,1.181,1972-09-06,0.2728,1962-12-13,0.0385,1968-10-15,3584.0
11,1973-09-05,0.637,1959-07-17,1.184,1972-09-07,0.2716,1962-12-14,0.0386,1968-10-16,3607.0
12,1973-09-06,0.636,1959-07-20,1.19,1972-09-08,0.266,1962-12-17,0.0382,1968-10-17,3501.0
13,1973-09-07,0.638,1959-07-21,1.185,1972-09-11,0.2693,1962-12-18,0.0385,1968-10-18,3550.0
14,1973-09-10,0.6335,1959-07-22,1.183,1972-09-12,0.2685,1962-12-19,0.039,1968-10-21,3536.0
15,1973-09-11,0.6302,1959-07-23,1.166,1972-09-13,0.2672,1962-12-20,0.0395,1968-10-22,3515.0
16,1973-09-12,0.6365,1959-07-24,1.175,1972-09-14,0.2691,1962-12-21,0.0397,1968-10-23,3501.0
17,1973-09-13,0.645,1959-07-27,1.174,1972-09-15,0.2674,1962-12-26,0.0402,1968-10-24,3517.0
18,1973-09-14,0.6645,1959-07-28,1.166,1972-09-18,0.27,1962-12-27,0.0414,1968-10-25,3617.0
19,1973-09-17,0.6575,1959-07-29,1.172,1972-09-19,0.2721,1962-12-28,0.0415,1968-10-28,3717.0
20,1973-09-18,0.6562,1959-07-30,1.17,1972-09-20,0.2717,1963-01-02,0.0425,1968-10-29,3817.0
21,1973-09-19,0.6515,1959-07-31,1.173,1972-09-21,0.276,1963-01-03,0.0434,1968-10-30,3830.0
22,1973-09-20,0.648,1959-08-03,1.165,1972-09-22,0.2705,1963-01-04,0.0435,1968-10-31,3750.0
23,1973-09-21,0.6465,1959-08-04,1.167,1972-09-25,0.272,1963-01-07,0.0449,1968-11-01,3805.0
24,1973-09-24,0.657,1959-08-05,1.17,1972-09-26,0.273,1963-01-08,0.0465,1968-11-04,3745.0
25,1973-09-25,0.673,1959-08-06,1.162,1972-09-27,0.2715,1963-01-09,0.0467,1968-11-06,3700.0
