Date,Settle
1990-06-19,1.622
1990-06-20,1.59
1990-07-02,1.63
1990-07-03,1.64
1990-07-05,1.64
1990-07-06,1.63
1990-07-09,1.63
1990-07-10,1.63
1990-07-11,1.63
1990-07-12,1.63
1990-07-13,1.64
1990-07-16,1.64
1990-07-17,1.64
1990-07-18,1.64
1990-07-19,1.645
1990-07-20,1.643
1990-07-25,1.65
1990-07-26,1.65
1990-07-27,1.65
1990-07-30,1.67
1990-07-31,1.655
1990-08-01,1.685
1990-08-02,1.665
1990-08-03,1.72
1990-08-06,1.785
1990-08-07,1.69
1990-08-08,1.685
1990-08-09,1.69
1990-08-10,1.705
1990-08-14,1.71
1990-08-15,1.708
1990-08-16,1.72
1990-08-17,1.735
1990-08-20,1.73
1990-08-21,1.75
1990-08-22,1.74
1990-08-23,1.72
1990-08-24,1.76
1990-08-27,1.74
1990-08-28,1.75
1990-08-29,1.7
1990-08-30,1.715
1990-08-31,1.734
1990-09-04,1.71
1990-09-05,1.702
1990-09-06,1.71
1990-09-07,1.72
1990-09-10,1.71
1990-09-11,1.71
1990-09-12,1.71
1990-09-13,1.68
1990-09-14,1.67
1990-09-17,1.665
1990-09-18,1.675
1990-09-19,1.675
1990-09-20,1.72
1990-09-21,1.74
1990-09-24,1.79
1990-09-25,1.78
1990-09-26,1.78
1990-09-27,1.775
1990-09-28,1.78
1990-10-01,1.75
1990-10-02,1.755
1990-10-03,1.78
1990-10-04,1.785
1990-10-05,1.78
1990-10-08,1.83
1990-10-09,1.86
1990-10-10,1.835
1990-10-11,1.85
1990-10-12,1.81
1990-10-15,1.78
1990-10-16,1.8
1990-10-17,1.78
1990-10-18,1.88
1990-10-19,1.79
1990-10-22,1.74
1990-10-23,1.97
1990-10-24,1.93
1990-10-25,1.935
1990-10-26,1.955
1990-10-29,1.93
1990-10-30,1.92
1990-10-31,1.92
1990-11-01,1.93
1990-11-02,1.935
1990-11-05,1.925
1990-11-06,1.96
1990-11-07,1.95
1990-11-08,1.95
1990-11-09,1.95
1990-11-12,1.945
1990-11-13,2.0
1990-11-14,2.01
1990-11-15,2.032
1990-11-16,2.0
1990-11-19,2.03
1990-11-20,2.03
1990-12-06,2.36
1990-12-07,2.34
1990-12-10,2.345
1990-12-11,2.29
1990-12-12,2.215
1990-12-13,2.22
1990-12-14,2.22
1990-12-17,2.2
1990-12-18,2.2
1990-12-19,2.2
1991-01-02,2.36
1991-01-03,2.34
1991-01-04,2.34
1991-01-07,2.34
1991-01-08,2.325
1991-01-09,2.325
1991-01-10,2.3
1991-01-11,2.295
1991-01-14,2.31
1991-01-15,2.3
1991-01-16,2.31
1991-01-17,2.3
1991-01-18,2.27
1991-01-21,2.29
1991-01-22,2.29
1991-01-23,2.0
1991-01-24,2.0
1991-01-25,2.0
1991-01-28,1.995
1991-01-29,1.995
1991-01-30,1.995
1991-01-31,2.0
1991-02-01,2.0
1991-02-04,2.0
1991-02-05,2.0
1991-02-06,2.02
1991-02-07,2.009
1991-02-08,1.99
1991-02-11,1.98
1991-02-12,1.995
1991-02-13,1.99
1991-02-14,1.985
1991-02-15,1.99
1991-02-19,1.99
1991-03-06,1.675
1991-03-07,1.653
1991-03-08,1.652
1991-03-11,1.65
1991-03-12,1.65
1991-03-13,1.65
1991-03-14,1.65
1991-03-15,1.645
1991-03-18,1.643
1991-03-19,1.645
1991-04-19,1.455
1991-04-22,1.445
1991-05-01,1.415
1991-05-02,1.42
1991-05-03,1.42
1991-05-06,1.43
1991-05-07,1.44
1991-05-08,1.446
1991-05-09,1.445
1991-05-10,1.445
1991-05-13,1.445
1991-05-14,1.451
1991-05-15,1.45
1991-05-16,1.445
1991-05-17,1.44
1991-05-20,1.44
1991-05-21,1.445
1991-05-22,1.45
1991-05-29,1.455
1991-05-30,1.46
1991-05-31,1.47
1991-06-03,1.47
